index,creative,answer_time_90,survey_created,wave,version,survey_end_time,survey_start_time,answer_time_75,userid,answer_time_median,answer_time_min,surveyid,shortcode,survey_duration,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a3,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a4,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a5,a50,a51,a52,a6,a7,a8,a9,age,consent,default_tys,education,gender,location,occupation,religion,state,ability,motivation,vaccinated,fully_vaccinated
36,,18.261500000000005,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 09:56:22.368000+00:00,2021-06-26 09:44:48.815000+00:00,14.799500000000002,20cb39ed14d83b0d891f4bfc0ae2a611faef2f3b60a7b9ed791debfe43acd0fe,12.351,6.86,b43cefd2-9965-4869-8494-99a700a20833,HCP,693.553,Moderately important,A little,"International Organizations like CDC, WHO",Not at all,"Yes, somewhat",No,,"Nothing ,I just feel like I don't need it",Agree,Agree,Agree,Strongly disagree,Very unlikely to take it,,Quite easy,Moderately,A little safe,A little important,Moderately important,Yes,2,No,,,Yes,"Catching up with friends, networking",Yes,Yes,Yes,Yes,All of the above,Private,Yes,Yes,No,Yes,Watching videos,No,,,Yes,All of the above,,Yes,No,Yes,No,Not at all concerned,No,No,18-29 years,Accept,,Bachelors,Woman,South West,Pharmacist,Other Christian,Lagos,True,False,False,False
502,vlab-nigeria-hw-generic-3,39.9906,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 19:39:48.100000+00:00,2021-06-25 19:19:53.510000+00:00,28.408,43aef40b96b61c8bd222c9c461d479f5815f61764f4a4955ec87c84cd6a6ecd5,19.657,8.338000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,1194.59,Moderately important,A great deal,"International Organizations like CDC, WHO",Not at all,Not at all,No,,I believe such vaccine should be first used or test on group of people to see if there's any severe side effects before generalized it on everyone.,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,"I will take it, but want to wait and see",,A bit difficult,Not at all,A little safe,A little important,Moderately important,Not sure,10years,Yes,At my working place among the doctors.,"Trigger fever, body rash etc",Yes,Getting information generally and as well not to be bored.,Yes,No,No,Yes,For telling people what I'm into and educating family and individual with disability,Public,Yes,No,No,Yes,To advertise my work,No,,,No,,Tertiary healthcare facility,,,,No,Very concerned,No,No,30-39 years,Accept,,Bachelors,Man,South South (Niger Delta),Other public health practitioner,Other Christian,Rivers State,False,False,False,False
625,vlab-nigeria-hw-ppmv-1,32.8038,2021-05-25 01:55:15.381+00:00,0,19,2021-06-29 07:09:05.590000+00:00,2021-06-29 06:55:08.239000+00:00,21.67125,de1fc495b06e43ec2832f80638a623203efb19a334466b1438bdcf80aae6e716,15.698500000000001,7.649000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,837.351,Extremely important,A moderate amount,TV,"Yes, definitely","Yes, definitely",No,,Am just thinking to go and take it soon,Disagree,Disagree,Agree,Disagree,"I will take it, but want to wait and see",,A bit difficult,Don’t know/Can’t say,Don’t know/Can’t say,Moderately important,Moderately important,Not sure,9,Yes,At one teaching hospital,"After taking it, it's affecting",Yes,Catching up with friends,Don’t remember,,,Yes,Catching up with friends,Private,No,,,No,,,,,No,,,,,,No,Very concerned,No,No,30-39 years,Accept,,Diploma,Woman,North East,PPMV/chemists,Other Christian,Oyo,False,False,False,False
511,vlab-nigeria-hw-generic-3,47.99700000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 20:50:27.127000+00:00,2021-06-25 20:31:55.030000+00:00,37.568000000000005,5a74e9be1b80dbfe00caf176e012c3a1237a952c23d91ef867926a900b486e62,27.907,7.058000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,1112.097,Extremely important,A great deal,Nigerian Center for Disease Control (NCDC),"Yes, somewhat","Yes, definitely","Yes, first dose only",To protect myself and my family,,,,,,,,Very easy,Very much,Very safe,Very important,Very important,Yes,7 years,Yes,Television,Always wash your hands with soap and running water.,Yes,Getting information ND chatting with friends,Don’t remember,,,Yes,Information,Private,No,,,No,,,,,No,,,,,,No,Very concerned,No,No,18-29 years,Accept,,Diploma,Woman,South South (Niger Delta),Community health worker,Other Christian,Edo state,True,True,True,False
329,vlab-nigeria-hw-generic-1,30.924300000000006,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 22:15:54.318000+00:00,2021-06-26 22:04:00.811000+00:00,20.19225,0384583a207350ab50893a14b28f45cb7545f89b2b04e980f8092c03f3c40105,16.294,8.422,b43cefd2-9965-4869-8494-99a700a20833,HCP,713.507,Moderately important,A great deal,"International Organizations like CDC, WHO",Not at all,Don’t know / Can’t say,No,,No reason,Disagree,Disagree,Agree,Strongly disagree,"I will take it, but want to wait and see",,Very difficult,Moderately,Moderately safe,A little important,Moderately important,Not sure,4years,No,,,Yes,Watching vidoes,Don’t remember,,,Yes,Catching up with friends,Private,No,,,No,,,,,No,,,,,,No,A little concerned,No,No,18-29 years,Accept,,Bachelors,Woman,South West,Pharmacist,Other Christian,Lagos,False,False,False,False
79,,28.953599999999994,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 22:02:17.874000+00:00,2021-06-25 21:46:48.939000+00:00,20.6595,0de7141768111ef19c2bce2ff7d07c51969cd4864958e0341ec1d79a3ffd3235,15.759,6.708,b43cefd2-9965-4869-8494-99a700a20833,HCP,928.935,Moderately important,A great deal,Nigerian Center for Disease Control (NCDC),"Yes, definitely","Yes, definitely",No,,Am taking my time. I don't want regret it if the vaccine fail,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,"I will take it, but want to wait and see",,Quite easy,Not at all,Not at all safe,Moderately important,Very important,Yes,4,No,,,Yes,All of the above,Yes,Yes,No,Yes,All of the above,Public,No,,,No,,,,,Yes,All of the above,Community setting,Yes,No,No,No,A little concerned,No,No,30-39 years,Accept,,Bachelors,Man,South East,Laboratory staff,Catholic,Ebonyi state,True,False,False,False
384,vlab-nigeria-hw-generic-2,23.581700000000023,2021-05-25 01:55:15.381+00:00,0,19,2021-06-29 13:49:31.394000+00:00,2021-06-29 13:34:27.120000+00:00,18.40775,f5fabf9494a74396a10d60fcc5a29da6bbb3a6b7364cc00eae09e657cde728b6,13.829,7.61,b43cefd2-9965-4869-8494-99a700a20833,HCP,904.274,Extremely important,A great deal,"International Organizations like CDC, WHO","Yes, definitely","Yes, definitely","Yes, both doses",My duty to get vaccinated to protect patients,,,,,,,,Very easy,Very much,Very safe,Very important,Very important,Yes,35yrs including my Tranning years,No,,,Yes,Like I notify my community member that covid 19 vaccine is available and is good for them to take and that they should ignore any side attraction I also let them know that I have taken my two doses without  any side effect that is effective and reliable also I spread the news in my whats app group and letting them know that uses of face masks is good to prevent the spread,Don’t remember,,,Yes,I uses whats app for aquqring knowledge and catching with people  on health related issue since is myfield,Public,Yes,Yes,No,No,,,,,No,,Primary healthcare facility,,,,No,Very concerned,No,No,50-59 years,Accept,,Diploma,Woman,South West,Nurse or midwife,Other Christian,OGUN STATE,True,True,True,True
240,vlab-nigeria-hw-chw-1,33.81800000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-27 06:29:40.189000+00:00,2021-06-27 06:17:47.054000+00:00,26.295,f99a047fa0a583a598821b03f0b18f11cb62fe65ef31a8744732a7c09095ac04,15.727,7.875000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,713.135,Moderately important,A great deal,Nigerian Center for Disease Control (NCDC),"Yes, definitely","Yes, somewhat","Yes, both doses",To protect myself and my family,,,,,,,,Quite easy,Very much,Very safe,Very important,Very important,Yes,7years ago,Yes,Where I am working,The need to be vaccinated,No,,,,,Yes,Getting in touch with loved ones and relevant information,Private,No,,,No,,,,,No,,,,,,No,Not at all concerned,No,No,30-39 years,Accept,,Diploma,Woman,North Central (Middle Belt),Community health worker,Other Christian,Niger,True,True,True,True
445,vlab-nigeria-hw-generic-2,46.02739999999999,2021-05-25 01:55:15.381+00:00,0,19,2021-06-28 14:57:52.378000+00:00,2021-06-28 14:02:06.929000+00:00,32.405,7cf1c3835fab5cf1194a8a34e031a90454793385b8067db60c1f70cfe3a58ae0,25.537000000000003,8.674000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,3345.449,Extremely important,Not at all,Online Social Media,Not at all,"Yes, somewhat","Yes, first dose only",To protect myself and my family,,,,,,,,A bit difficult,Moderately,A little safe,A little important,A little important,Yes,5years,No,,,Yes,Catching up. With friends,Yes,No,Yes,Yes,Catching up with friends,Private,No,,,No,,,,,No,,,,,,No,Very concerned,No,No,18-29 years,Accept,,Bachelors,Man,North Central (Middle Belt),Other public health practitioner,Islam,Benue State,False,False,True,False
257,vlab-nigeria-hw-chw-1,46.5205,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 13:34:48.398000+00:00,2021-06-26 09:01:18.083000+00:00,21.92575,b1c8bf6494141bf097c0e94a8f8be232dc24eb65d6cce9e8217cc4a462836d52,13.586500000000001,7.619000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,16410.315,Extremely important,A great deal,Nigerian Center for Disease Control (NCDC),Not at all,"Yes, somewhat",No,,I've been pregnant. I just put to bed.,Agree,Strongly disagree,Agree,Strongly disagree,"I will take it, but want to wait and see",,Very difficult,A little,A little safe,Moderately important,Moderately important,Yes,10,Yes,Ibadan,Allergic reaction/hypersensitivity reaction,Yes,All of the above,Yes,Don’t remember,No,Yes,All of the above,Private,No,,,Yes,All of the above,No,,,No,,,,,,No,Moderately concerned,No,No,30-39 years,Accept,,Bachelors,Woman,South East,Pharmacist,Other Christian,Oyo,False,False,False,False
439,vlab-nigeria-hw-generic-2,43.5136,2021-05-25 01:55:15.381+00:00,0,19,2021-06-29 10:16:58.663000+00:00,2021-06-29 09:55:17.556000+00:00,28.015,a25b466e71a70842d446404125196d1a6abd91387df5d16bca701f85ae3fe2ea,22.393,11.548,b43cefd2-9965-4869-8494-99a700a20833,HCP,1301.107,Extremely important,A great deal,"International Organizations like CDC, WHO",Not at all,"Yes, somewhat",No,,no reason  for exposing myself to infection,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Unsure,,Don’t know/Can’t say,Don’t know/Can’t say,Don’t know/Can’t say,Don’t know/Can’t say,Don’t know/Can’t say,Not sure,35yrs and retired,Yes,Ministry of health,if it is really effective in preventing covid-19,Yes,catching up with friends and getting health care information,No,,,Yes,same as above.,Public,No,,,Yes,same as above,Yes,No,No,No,,Administrative setting,,,,No,Very concerned,No,No,50-59 years,Accept,,Diploma,Woman,South South (Niger Delta),Other public health practitioner,Other Christian,Rivers,False,False,False,False
47,,21.030700000000007,2021-05-25 01:55:15.381+00:00,0,19,2021-06-02 02:54:44.262000+00:00,2021-06-02 02:42:43.595000+00:00,16.41625,37d44ef4606adb61b9da75548d873e621c64e9f9ad09cf5ae5a943db9d48a24e,12.633000000000001,5.368,b43cefd2-9965-4869-8494-99a700a20833,HCP,720.667,Slightly important,A great deal,TV,"Yes, somewhat",Not at all,"Yes, both doses",To prevent COVID-19 from spreading,,,,,,,,Very difficult,Moderately,Very safe,Very important,Very important,Yes,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Public,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Secondary healthcare facility,Yes,Yes,Yes,Yes,Not at all concerned,No,No,40-49 years,Accept,,Masters,Man,North West,Medical doctor,Other Christian,Yes,False,True,True,True
242,vlab-nigeria-hw-chw-1,34.925700000000006,2021-05-25 01:55:15.381+00:00,0,19,2021-06-29 13:03:10.657000+00:00,2021-06-29 12:50:05.091000+00:00,20.6235,b89e3a357177ccc77da06db200a3975d598da0f2fa8efc9bd3109bb4fe3eac9e,14.200000000000001,7.434,b43cefd2-9965-4869-8494-99a700a20833,HCP,785.566,Extremely important,A great deal,"International Organizations like CDC, WHO","Yes, definitely","Yes, definitely","Yes, first dose only",To protect myself and my family,,,,,,,,Very easy,Moderately,Moderately safe,Very important,Very important,Yes,3,Yes,"Managed a patient who lost her pregnancy after receiving the vaccine.
Though she was not aware of the pregnancy till postvaccination.",Miscarriage due to the vaccine.,Yes,Chatting with friends and getting information in general.,Yes,Yes,Yes,Yes,All aforementioned purposes.,Public,No,,,Yes,Watching videos.,No,,,No,,Secondary healthcare facility,,,,No,Moderately concerned,No,No,18-29 years,Accept,,Bachelors,Woman,South West,Medical doctor,Catholic,Osun State.,True,True,True,False
362,vlab-nigeria-hw-generic-1,64.50700000000002,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 16:43:22.137000+00:00,2021-06-26 16:24:56.075000+00:00,22.975250000000003,f14e9dd96b56227e7ad4a8932c8c253ada641d95c431c04ecc460b897af3d6ee,15.246,8.819,b43cefd2-9965-4869-8494-99a700a20833,HCP,1106.062,Extremely important,A great deal,"International Organizations like CDC, WHO","Yes, somewhat","Yes, definitely","Yes, first dose only",To prevent COVID-19 from spreading,,,,,,,,Very easy,Moderately,Moderately safe,Very important,Very important,Yes,5years,Yes,Some people have side effects and some don't want to be vaccinated,The vaccine will not prevent you from wearing facemask   or contacting the disease,Yes,To have some updates about social activities catching up with friends and uploading photos and some write ups,No,,,Yes,Meeting my old friends and family discussing some health care updates from professional forums notification of activities of my forums,Public,Yes,No,No,No,,,,,Don't have account,,Tertiary healthcare facility,,,,No,Very concerned,No,No,40-49 years,Accept,,Diploma,Woman,North West,Nurse or midwife,Islam,Kano,True,True,True,False
519,vlab-nigeria-hw-generic-3,57.231000000000016,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 19:52:15.219000+00:00,2021-06-25 19:29:28.297000+00:00,34.307500000000005,8febe6d23577aa1cc40a6c28c59880122d1772fbc0ef20c770b0f2cbc199d1a1,23.362000000000002,8.545,b43cefd2-9965-4869-8494-99a700a20833,HCP,1366.922,Extremely important,A great deal,Nigerian Center for Disease Control (NCDC),"Yes, definitely","Yes, definitely",No,,Do ot know where to take it,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I will immediately take it,Don’t know where to register,Very difficult,Very much,Very safe,Very important,Very important,Yes,35yearsinmilitary hospital,Yes,Over radios and TV,That it prevents one from contracting covid,Yes,All the above,No,,,Yes,Catching up with friends getting I formation on health,Public,No,,,No,,,,,No,,Tertiary healthcare facility,,,,No,Very concerned,No,No,50-59 years,Accept,,Diploma,Man,South South (Niger Delta),PPMV/chemists,Catholic,Cross River,False,True,False,False
475,vlab-nigeria-hw-generic-3,22.25660000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 10:33:46.094000+00:00,2021-06-26 10:23:48.459000+00:00,16.029000000000003,a0de86408c57c5291bf0edc1e94af39f2620c3f2238d146c0d8962c99ee72f4c,11.866000000000001,5.978000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,597.635,Extremely important,A great deal,Nigerian Center for Disease Control (NCDC),"Yes, somewhat","Yes, somewhat",No,,Not accessible,Disagree,Disagree,Disagree,Disagree,I will immediately take it,No,Very difficult,Moderately,Very safe,Very important,Very important,Yes,8years,No,,,Yes,Entertainment and information,Yes,No,No,Yes,Catching up with friends,Private,No,,,No,,,,,No,,,,,,No,Very concerned,No,No,18-29 years,Accept,,Diploma,Woman,South South (Niger Delta),Nurse or midwife,Other Christian,Edo,False,True,False,False
125,,41.14600000000006,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 06:52:57.921000+00:00,2021-06-26 06:37:42.844000+00:00,21.207500000000003,7eb04304e59bff2cdab3b36b4e12a8cad69b38b7f5d3b3c27a5aff1c3f7478d7,17.936,8.364,b43cefd2-9965-4869-8494-99a700a20833,HCP,915.077,Extremely important,A moderate amount,Nigerian Center for Disease Control (NCDC),"Yes, definitely",Don’t know / Can’t say,"Yes, first dose only",To protect myself and my family,,,,,,,,A bit difficult,Moderately,Moderately safe,Very important,Very important,Yes,10yrs,Yes,I have heard the covid-19 concern though the ncdc and the nphda,Is a very deadly virus,Yes,"Catching up with friends,and getting health care information",Yes,No,No,Yes,Catching up with friends,Private,No,,,No,,,,,No,,,,,,Yes,Very concerned,No,No,30-39 years,Accept,,Bachelors,Man,North Central (Middle Belt),PPMV/chemists,Islam,Plateau,False,True,True,False
315,vlab-nigeria-hw-generic-1,25.186200000000003,2021-05-25 01:55:15.381+00:00,0,19,2021-06-27 13:04:21.085000+00:00,2021-06-27 12:53:54.578000+00:00,16.3315,4e754959b9837ec977130a9a332dcec721d3a1712ae3f48009c895a99c74c1df,13.470500000000001,7.399,b43cefd2-9965-4869-8494-99a700a20833,HCP,626.507,Extremely important,A great deal,Nigerian Center for Disease Control (NCDC),"Yes, definitely","Yes, definitely","Yes, both doses",To get back to normal life,,,,,,,,Quite easy,Moderately,Moderately safe,Very important,Very important,Yes,25 years plus,No,,,Yes,Getting information  and catching up with friends,Yes,Yes,Yes,Yes,I have answered it before,Public,Yes,Yes,Yes,No,,,,,No,,Primary healthcare facility,,,,No,A little concerned,No,Yes,50-59 years,Accept,,Masters,Woman,North Central (Middle Belt),Nurse or midwife,Catholic,FCT,True,True,True,True
566,vlab-nigeria-hw-nurse-1,33.015,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 17:52:05.294000+00:00,2021-06-25 17:38:42.381000+00:00,17.1045,4604400090eac8cb07d7be0b5831256fee606cc4f4c8a5f681cbddd28326bdef,13.41,7.516000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,802.913,Extremely important,A great deal,Colleagues in the healthcare profession,"Yes, somewhat","Yes, somewhat","Yes, both doses",To prevent COVID-19 from spreading,,,,,,,,Very easy,Moderately,Very safe,Very important,Very important,Yes,8 years,Yes,In my hospital one of our staff reacted,People are afaird of their lives because of the fake rumours,Yes,Most times I share health information and also communicate with my friend and far family members,Yes,Yes,Yes,Yes,Also to reach out to people about their health and also for easy communication,Public,Yes,Yes,Yes,Yes,Most times I study health issues and do general communication,Yes,Yes,Yes,Don't have account,,Tertiary healthcare facility,,,,No,A little concerned,Yes,No,40-49 years,Accept,,Diploma,Woman,South East,Nurse or midwife,Other Christian,Fct Abuja,True,True,True,True
670,vlab-nigeria-hw-ppmv-1,92.8907,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 12:23:12.221000+00:00,2021-06-26 11:45:34.737000+00:00,37.86925,274711c3fbf1464920ac6d3c6392d3eecb7f4278ca2ce0edaa6826dfa07c81e3,18.6645,8.705,b43cefd2-9965-4869-8494-99a700a20833,HCP,2257.484,Extremely important,A moderate amount,"International Organizations like CDC, WHO","Yes, somewhat","Yes, somewhat",No,,About to receive it,Agree,Disagree,Neither agree nor disagree,Disagree,"I will take it, but want to wait and see",,Very easy,A little,A little safe,Moderately important,Moderately important,Yes,6,No,,,Yes,"Catching up with friends, getting informed with what is going on in world",Yes,Don’t remember,No,Yes,Catching up with friends,Private,No,,,No,,,,,Don't have account,,,,,,No,A little concerned,No,No,30-39 years,Accept,,Other,Woman,South West,PPMV/chemists,Islam,Ogun state,True,False,False,False
31,,15.966400000000004,2021-05-25 01:55:15.381+00:00,0,19,2021-05-25 08:47:25.599000+00:00,2021-05-25 08:38:38.782000+00:00,12.2375,94df88b86016019327c16a7b69bcfc9804267fa50edbfc0a9318e8532e81939c,9.431000000000001,6.237,b43cefd2-9965-4869-8494-99a700a20833,HCP,526.817,Not at all important,Not at all,TV,Not at all,Not at all,"Yes, both doses",To protect myself and my family,,,,,,,,Very difficult,Not at all,Not at all safe,Not at all important,Not at all important,Yes,5,Yes,This is very dances disease,Yes in this disease very dangerous,Yes,Very imparted point keep distance and stay home stay safe,Yes,Yes,Yes,Yes,Stay home stay safe,Public,No,,,Yes,Stay safe stay home,Yes,Yes,Yes,No,,Primary healthcare facility,,,,No,Not at all concerned,Yes,No,18-29 years,Accept,,Diploma,Woman,North Central (Middle Belt),Medical doctor,Catholic,India,False,False,True,True
564,vlab-nigeria-hw-nurse-1,30.139200000000002,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 11:24:09.220000+00:00,2021-06-25 11:10:08.941000+00:00,22.62275,9ddd7d24d8e05b0ca911ec614c91e3957ec444f268f0a5e20a2b01f9bc4b3196,14.287500000000001,7.6930000000000005,b43cefd2-9965-4869-8494-99a700a20833,HCP,840.279,Extremely important,A moderate amount,TV,"Yes, somewhat","Yes, definitely",No,,Not convinced to take it,Strongly disagree,Neither agree nor disagree,Strongly disagree,Disagree,"I will take it, but want to wait and see",,Don’t know/Can’t say,Moderately,Moderately safe,Moderately important,A little important,Yes,20 years,Yes,In my hospital and my neighborhood where I live,Its side effects,Yes,So many things,Don’t remember,,,Yes,So many things,Private,No,,,Yes,So many things,No,,,No,,,,,,No,Moderately concerned,No,No,40-49 years,Accept,,Other,Woman,North Central (Middle Belt),Nurse or midwife,Other Christian,FCT,False,False,False,False
498,vlab-nigeria-hw-generic-3,37.004599999999996,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 20:59:01.947000+00:00,2021-06-26 20:44:41.682000+00:00,18.505000000000003,2d500552eb363e1057f0670e73c1205e657ca437f523a5273e8932d68f9b7452,13.969000000000001,7.510000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,860.265,Extremely important,A great deal,Nigerian Center for Disease Control (NCDC),"Yes, somewhat","Yes, somewhat",No,,Since I was infected with covid_19 I felt I have developed immunity,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Unsure,,Very easy,Don’t know/Can’t say,Don’t know/Can’t say,Very important,A little important,Yes,11years,Yes,In the hospital where I am presently working as a nurse,Advocates by the immunization teams and public address systems,Yes,General and verse knowledge about everything that is happening in the world,No,,,Yes,Catching up with friends,Public,Yes,No,No,Yes,Watching videos,No,,,No,,Tertiary healthcare facility,,,,Yes,Very concerned,Yes,No,30-39 years,Accept,,Bachelors,Woman,North East,Nurse or midwife,Islam,Borno 4,True,True,False,False
52,,22.981,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 09:46:16.452000+00:00,2021-06-26 09:33:59.138000+00:00,14.741,ca8cb9b42b407bde84784a67a3c8e1006f7a7d56e5adac4c9d605033223ac141,11.458,6.001,b43cefd2-9965-4869-8494-99a700a20833,HCP,737.314,Moderately important,A little,"International Organizations like CDC, WHO","Yes, somewhat","Yes, definitely",No,,"I was not chanced to go to the health centre when it was available.
Now it's finished.",Neither agree nor disagree,Disagree,Disagree,Strongly disagree,I will immediately take it,No,A bit difficult,Moderately,Very safe,Moderately important,Moderately important,Yes,3 years,Yes,BBC news and local news channels,Blood clots and chest pain,Yes,All of the above,No,,,Yes,All of the above,Private,Yes,Yes,Yes,Yes,All of the above,Yes,No,No,Yes,No,,No,,,No,Moderately concerned,No,No,18-29 years,Accept,,Diploma,Woman,South West,Nurse or midwife,Other Christian,Lagos,False,False,False,False
249,vlab-nigeria-hw-chw-1,39.19020000000002,2021-05-25 01:55:15.381+00:00,0,19,2021-06-29 16:24:56.278000+00:00,2021-06-29 15:19:40.563000+00:00,23.45475,eccc35bf1f7e37bad4ab8b0aaa7208af00e91952bac6e742a6efe98a91f7b68d,14.34,6.803000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,3915.715,Extremely important,A moderate amount,"International Organizations like CDC, WHO","Yes, somewhat","Yes, somewhat",No,,"Not available, where I work",Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,"I will take it, but want to wait and see",,Very difficult,Not at all,A little safe,Moderately important,Moderately important,Yes,3,Yes,Internets,"Magnetic effects, allergies",Yes,Catching up with friends and getting informations worldwide,Yes,No,No,Yes,Catching up with friends,Private,No,,,Yes,Getting information,Yes,Don’t remember,Yes,Don't have account,,,,,,No,Very concerned,No,No,18-29 years,Accept,,Masters,Woman,South East,Pharmacist,Catholic,Ebonyi,False,False,False,False
484,vlab-nigeria-hw-generic-3,30.209000000000003,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 12:05:42.536000+00:00,2021-06-26 11:50:19.387000+00:00,26.046000000000003,bcf8d31b3d9619111b69612bca0b5443906f3cef530ec116944a71c1f7c23692,18.534000000000002,6.855,b43cefd2-9965-4869-8494-99a700a20833,HCP,923.149,Extremely important,A moderate amount,Nigerian Center for Disease Control (NCDC),"Yes, definitely",Don’t know / Can’t say,"Yes, first dose only",To prevent COVID-19 from spreading,,,,,,,,Quite easy,Moderately,Very safe,Very important,Very important,Yes,4years,Yes,Health center,Creating awearness about COVID-19 vaccine,Yes,Getting healthcare information,Yes,Don’t remember,Yes,Yes,Catching up with friends,Private,Yes,Yes,Yes,No,,,,,Don't have account,,,,,,No,Very concerned,No,No,18-29 years,Accept,,Diploma,Woman,South West,Community health worker,Islam,Lagos,True,True,True,False
624,vlab-nigeria-hw-ppmv-1,32.713800000000006,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 20:00:51.368000+00:00,2021-06-25 19:48:26.186000+00:00,21.793,f3a3389e67d3206379bd4853bb3ac71aeed2c095a4e3a3941520f8b62d42e87a,15.009500000000001,5.634,b43cefd2-9965-4869-8494-99a700a20833,HCP,745.182,Extremely important,A great deal,"International Organizations like CDC, WHO","Yes, somewhat","Yes, somewhat","Yes, both doses",To prevent COVID-19 from spreading,,,,,,,,Very easy,Very much,Moderately safe,Very important,Very important,Yes,5years,No,,,Yes,To get view of current situations in each neighbourhoods,Yes,No,No,Yes,For my business advert and how people could manage their health,Public,No,,,Yes,My daughter watches cartoons on it,No,,,No,,Administrative setting,,,,No,Very concerned,No,No,30-39 years,Accept,,Bachelors,Woman,South West,Other public health practitioner,Other Christian,Osun state,True,True,True,True
55,,23.513900000000007,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 15:47:20.690000+00:00,2021-06-26 15:35:40.891000+00:00,15.99675,a359bcd62353932bdf77f3ab8f388f5e9f09f3096e1332fea32350a8952df377,11.504000000000001,4.92,b43cefd2-9965-4869-8494-99a700a20833,HCP,699.799,Extremely important,A moderate amount,Nigerian Center for Disease Control (NCDC),"Yes, definitely","Yes, definitely","Yes, both doses",To prevent COVID-19 from spreading,,,,,,,,Very easy,Very much,Very safe,Very important,Very important,Yes,10,Yes,Public not trusting the vaccine,Friends,Yes,Latest News and connecting with friends,Yes,Yes,Yes,Yes,Meet friends,Public,Yes,Yes,No,Yes,Watch educating videos,Don’t remember,,,Yes,News and connecting with friends,Tertiary healthcare facility,Yes,Yes,Yes,No,Very concerned,No,No,30-39 years,Accept,,Masters,Man,North East,Laboratory staff,Islam,Bauchi,True,True,True,True
318,vlab-nigeria-hw-generic-1,26.02430000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 12:42:35.794000+00:00,2021-06-25 12:00:24.718000+00:00,17.63725,614600f78526526e0d381daabe639117dde86dc8af5186173c07e3c8ad74c96a,12.580000000000002,7.673,b43cefd2-9965-4869-8494-99a700a20833,HCP,2531.076,Extremely important,A little,Nigerian Center for Disease Control (NCDC),"Yes, somewhat","Yes, somewhat","Yes, both doses",To prevent COVID-19 from spreading,,,,,,,,Very easy,Very much,Very safe,Very important,Very important,Yes,7,No,,,Yes,"Catching up with friends,news and watching videos.",Yes,No,Yes,Yes,Catching up with friends,Public,Yes,Yes,Yes,No,,,,,No,,Secondary healthcare facility,,,,No,Not at all concerned,No,No,30-39 years,Accept,,Bachelors,Man,North East,Pharmacist,Other Christian,Taraba State,True,True,True,True
